Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.020266479508749,0.00111490010484205,0.0742713043923713,0,0,0,6.15060830667613,0.0669131459127444,0.000331095916278806,-0.000546305633000038,0.0729062050878231,3.03791421785394E-05,0.105752689810875,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/base_link.STL,,corps_V2_MIT_H04-2;HT_04_MIT_cheetah_motor-11;fixation_2_moteur_DD_qRoll-3;Fixation_V2_HipYaw_2_moteur_DD-2;fixation_v2_moteur_DD_fémur-4;Symétrie_Lacetfixation_2_moteur_DD_qRoll-6;Symétrie_LacetHT_04_MIT_cheetah_motor-13;Symétrie_Lacetfixation_v2_moteur_DD_fémur-6;Symétrie_LacetFixation_V2_HipYaw_2_moteur_DD-3,Repère_0_baseLink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_HipYaw_D,-0.000950446172793551,-0.022867540621532,0.0751667640877387,0,0,0,0.950205196869861,0.000888214151991332,1.7502257146007E-05,-1.39606253666135E-06,0.00130742972960493,-1.83060478020218E-05,0.000919916632233785,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_HipYaw_D.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_HipYaw_D.STL,,Symétrie_Lacetfixation_1_V2_moteur_DD_qRoll-7;Symétrie_PatteGauche_HT_04_MIT_cheetah_motor-12,Repères_HipYaw_D,Axe_HipYaw_D,Joint_HipYaw_D,revolute,-0.018147,-0.056077,0.1075,0,0,0,base_link,0,0,1,0,0,-0.5236,0.5236,,,,,,,1,1
Link_HipPitch_D,-6.8761873466272E-06,0.00114519719993722,0.457300281508992,0,0,0,1.95580532271771,0.00182757562838347,0.000179492807069441,-0.001095412325116,0.0114156387635016,3.81005450736091E-05,0.012498153302823,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_HipPitch_D.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_HipPitch_D.STL,,Symétrie_PatteGauche_fixation_2_moteur_DD_Femur_new-2;Symétrie_PatteGauche_HT_04_MIT_cheetah_motor-11;Symétrie_PatteGauche_Fémur_MIT_H04-2;Symétrie_PatteGauche_fixation_3_moteur_DD_fémur-2;Symétrie_PatteGauche_HT_04_MIT_cheetah_motor-13;Symétrie_PatteGauche_fixation_4_moteur_DD_fémur-2;Symétrie_PatteGauche_GOUJON_fémur_Moteur_qAnkle-2;Symétrie_PatteGauche_courroie_module2mm_Z20-2;Symétrie_PatteGauche_fixation_moteur_DD_fémur-2;Symétrie_PatteGauche_roue_dentée_1_module2_Z20_simplest-2;Symétrie_PatteGauche_roue_dentée_1_module2_Z20_4Barres_métatarse-5,Repère_Hip_D,Axe_Hip_D,Joint_HipPitch_D,revolute,0.016242,0.29906,0.078,1.5708,1.536,-0.0534,Link_HipYaw_D,0,0,-1,0,0,-1.5707,0,,,,,,,,
Link_Knee_D,0.1361476135622,0.0145881522897291,0.5193145230582,0,0,0,0.315635651588114,0.000254426443966662,-0.000351345947960491,0.000315168780030322,0.00309252932985989,3.9094254157864E-05,0.00316186302023711,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_Knee_D.STL,0,1,1,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_Knee_D.STL,,Symétrie_PatteGauche_tibia_MIT_H04-2,Repère_Knee_D,Axe_Knee_D,Joint_Knee_D,revolute,0.16,0,-0.0245,0,0,-0.19569,Link_HipPitch_D,0,0,-1,0,0,0,3.1415,,,,,,,,
Link_Ankle_D,0.0396103017376912,0.00270429448791487,0.395868736059361,0,0,0,0.184605421069194,4.34030510364001E-05,-3.54476065730418E-06,-1.48994605727124E-05,0.0004953347056734,5.99822899610163E-08,0.000521624460728874,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_Ankle_D.STL,0.752941176470588,0,0.752941176470588,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_Ankle_D.STL,,Symétrie_V2_PatteGauche_métatarse_MIT_H04-2;Symétrie_PatteGauche_Copie de Ressort_Roue_Menante^Assemblage_corps_pattes_1_MIT_H04_avec_monde_RessortSurPalme-3;Assemblage1^Assemblage_corps_pattes_MIT_H04_RessortSurPalmesFLEXIBLES_AvecMonde_3-3/top rod-1;Assemblage1^Assemblage_corps_pattes_MIT_H04_RessortSurPalmesFLEXIBLES_AvecMonde_3-3/spring_flexible_perso-1;Assemblage1^Assemblage_corps_pattes_MIT_H04_RessortSurPalmesFLEXIBLES_AvecMonde_3-3/shocker-1;Symétrie_PatteGauche_Copie de Ressort_Bielle_menante^Assemblage_corps_pattes_1_MIT_H04_avec_monde_RessortSurPalme-2;Symétrie_PatteGauche_Copie de Ressort_Roue_Menante^Assemblage_corps_pattes_1_MIT_H04_avec_monde_RessortSurPalme-4,Repère_Ankle_D,Axe_Ankle_D,Joint_Ankle_D,revolute,0.23881,0.023881,0.0635,0,0,0.14261,Link_Knee_D,0,0,-1,0,0,-3.1415,0,,,,,,,,
Link_Foot_D,-0.024183614586474,0.00472900535085019,0.39236385931783,0,0,0,0.0546943099715329,1.34777038749873E-05,1.59485905922863E-06,-1.92965520633829E-07,2.55476090841959E-05,2.18131157553196E-08,3.15296344140971E-05,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_Foot_D.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_Foot_D.STL,,fixation_palme_1_0.0.0-6;arret_rotation_new-1,Repère_Foot_D,Axe_Foot_D,Joint_Foot_D,revolute,0.12,0,0.01,0,0,-1.5708,Link_Ankle_D,0,0,1,0,0,0,3.1415,,,,,,,,
Link_PalmeD_g,0.00752427478471418,-0.0288252517174629,-0.0416337378484336,0,0,0,0.0807463947610813,0.000104013520420242,7.09548939607373E-06,-4.13409053563053E-06,7.84418920096679E-05,1.588878434715E-05,3.23075735723034E-05,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_PalmeD_g.STL,1,1,0,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_PalmeD_g.STL,,part1_palme-5,Repère_Palme_D,Axe_Palme_D,Joint_PalmeD_g,revolute,-0.13819,0.038047,0.39515,1.5821,0.31937,-1.5945,Link_Foot_D,0,0,-1,0,0,-1.5707,1.5707,,,,,,,,
Link_PalmeD_d,-0.0122351374798444,0.0271626813559712,-0.0448993183015995,0,0,0,0.0807463947610811,0.000107149417523528,1.09121509241879E-05,9.78551104026665E-06,8.76817030331559E-05,-2.18506395767271E-05,3.23075735723034E-05,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_PalmeD_d.STL,1,1,0,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_PalmeD_d.STL,,part2_palme-1,Repère_Palme_D,Axe_Palme_D,Joint_PalmeD_d,revolute,-0.13819,0.038047,0.39515,1.5821,0.31937,-1.5945,Link_Foot_D,0,0,-1,0,0,-1.5707,1.5707,,,,,,,,
Link_HipYaw_G,-9.14920620759263E-06,0.0297164013094371,0.0727528311241241,0,0,0,0.950205196909706,0.000888067370319887,-3.10038797876888E-07,-7.28258366177286E-07,0.00130826965929317,-1.73990365620638E-05,0.000919223484374397,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_HipYaw_G.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_HipYaw_G.STL,,fixation_1_V2_moteur_DD_qRoll-5;HT_04_MIT_cheetah_motor-9,Repères_HipYaw_G,Axe_HipYaw_G,Joint_HipYaw_G,revolute,-0.011806,0.057746,0.1075,0.092261,0,-0.055652,base_link,0,0.09213,0.99575,0,0,-0.5236,0.5236,,,,,,,1,1
Link_HipPitch_G,0.000154019260506733,0.00299951106996221,-0.457289702584565,0,0,0,1.95579685025705,0.00184767496472383,-0.000291523209074059,0.00109025011266845,0.0113948969015732,1.79130632594967E-05,0.0124987422515525,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_HipPitch_G.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ros2_RobotBipede/meshes/Link_HipPitch_G.STL,,fixation_2_moteur_DD_Femur_new-1;HT_04_MIT_cheetah_motor-8;Fémur_MIT_H04-1;courroie_module2mm_Z20-1;fixation_moteur_DD_fémur-1;roue_dentée_1_module2_Z20_simplest-1;GOUJON_fémur_Moteur_qAnkle-1;HT_04_MIT_cheetah_motor-10;fixation_4_moteur_DD_fémur-1;fixation_3_moteur_DD_fémur-1;roue_dentée_1_module2_Z20_4Barres_métatarse-1,Repère_Hip_G,Axe_Hip_G,Joint_HipPitch_G,revolute,0.0024054,-0.29102,0.10526,0.092426,1.4781,-1.465,Link_HipYaw_G,0,0,1,0,0,-1.5707,0,,,,,,,,
